k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.23461714386940002,0.36524638533592224
0.2,0.08926230669021606,0.2436605989933014
0.30000000000000004,0.041980404406785965,0.16425882279872894
0.4,0.02672196924686432,0.13567408919334412
0.5,0.020167037844657898,0.11392254382371902
0.6,0.016052236780524254,0.10015441477298737
0.7000000000000001,0.012595033273100853,0.08606760948896408
0.8,0.008179262280464172,0.06619960069656372
0.9,0.0031135892495512962,0.03516845032572746
1.0,0.0014161396538838744,0.0033498378470540047
