k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.284684956073761,0.39109814167022705
0.2,0.15791763365268707,0.30673015117645264
0.30000000000000004,0.0807310938835144,0.2275504320859909
0.4,0.0373782254755497,0.1542692482471466
0.5,0.017083298414945602,0.09878922998905182
0.6,0.00964980386197567,0.07135166972875595
0.7000000000000001,0.007839792408049107,0.06598520278930664
0.8,0.004081354942172766,0.04272296279668808
0.9,0.002367711393162608,0.018191471695899963
1.0,0.007892435416579247,0.06094127893447876
