k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9756520986557007,0.16710354387760162
0.2,0.8957070112228394,0.2855862081050873
0.30000000000000004,0.7954525947570801,0.3802957832813263
0.4,0.6765490174293518,0.4300782084465027
0.5,0.5385701656341553,0.43635377287864685
0.6,0.4065485894680023,0.4336545467376709
0.7000000000000001,0.2626703083515167,0.3806077241897583
0.8,0.12442038208246231,0.272256463766098
0.9,0.0312943272292614,0.14257635176181793
1.0,0.007892435416579247,0.06094128265976906
