k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9595252871513367,0.1827968806028366
0.2,0.8844459652900696,0.29481691122055054
0.30000000000000004,0.7956334948539734,0.38109090924263
0.4,0.6950995326042175,0.425059974193573
0.5,0.5721458792686462,0.44360432028770447
0.6,0.4485870897769928,0.4456526041030884
0.7000000000000001,0.31588488817214966,0.4127669036388397
0.8,0.15835504233837128,0.3162230849266052
0.9,0.06436086446046829,0.2303793728351593
1.0,0.001416146056726575,0.003349834121763706
