k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.5372567176818848,0.45066943764686584
0.2,0.31174948811531067,0.41541871428489685
0.30000000000000004,0.15366284549236298,0.308116614818573
0.4,0.056904297322034836,0.1837107092142105
0.5,0.02325626090168953,0.11743668466806412
0.6,0.013652523048222065,0.08769983053207397
0.7000000000000001,0.008191915228962898,0.0660598948597908
0.8,0.0060663684271276,0.054736021906137466
0.9,0.0029672447126358747,0.021110903471708298
1.0,0.007892435416579247,0.06094128265976906
