k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9763434529304504,0.15413528680801392
0.2,0.9108396172523499,0.28493446111679077
0.30000000000000004,0.8232582807540894,0.3691435158252716
0.4,0.7288616299629211,0.40720096230506897
0.5,0.6070411205291748,0.4374799132347107
0.6,0.4954058825969696,0.45077258348464966
0.7000000000000001,0.3635742962360382,0.44037920236587524
0.8,0.22341680526733398,0.37774980068206787
0.9,0.11895696818828583,0.3064386248588562
1.0,0.00786296185106039,0.060920655727386475
