k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.15690042078495026,0.30338597297668457
0.2,0.06271879374980927,0.2018377184867859
0.30000000000000004,0.030548488721251488,0.14169996976852417
0.4,0.016896342858672142,0.11037938296794891
0.5,0.014508533291518688,0.10433203727006912
0.6,0.009951007552444935,0.07635841518640518
0.7000000000000001,0.0066873496398329735,0.060038745403289795
0.8,0.003649588208645582,0.03890080377459526
0.9,0.002858669264242053,0.03268417716026306
1.0,0.0014161395374685526,0.003349836217239499
