k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.5846582055091858,0.447798490524292
0.2,0.43101397156715393,0.4380466639995575
0.30000000000000004,0.3253704011440277,0.41568702459335327
0.4,0.2413139045238495,0.38328561186790466
0.5,0.18640539050102234,0.33852407336235046
0.6,0.13275912404060364,0.2878548502922058
0.7000000000000001,0.08237674087285995,0.2214534878730774
0.8,0.04429793730378151,0.1666426807641983
0.9,0.021236533299088478,0.12095114588737488
1.0,0.0013747528428211808,0.005388422403484583
