cumulative_sum,sample,method
-2.2593568340619625,0,IG
0.5665308671277103,1,IG
4.450868231279703,2,IG
4.121520009711958,3,IG
2.7278936308980066,4,IG
4.065594085918821,5,IG
4.9771701371338555,6,IG
4.582642143820237,7,IG
4.384801215320094,8,IG
3.9753103935288445,9,IG
3.6958524493170852,10,IG
3.6275067534088525,11,IG
4.20045851928199,12,IG
5.7163836006927475,13,IG
7.276461027007493,14,IG
6.6896701968054515,15,IG
6.189925349445943,16,IG
6.229869517786963,17,IG
5.667882474975686,18,IG
4.997435357339281,19,IG
4.719768608819449,20,IG
5.099972079483687,21,IG
5.065739527716095,22,IG
5.40957841548726,23,IG
7.428944675205968,24,IG
6.82760391860837,25,IG
6.441230796604529,26,IG
6.266624361755793,27,IG
6.009747370865812,28,IG
5.853874695321244,29,IG
5.7085987177661375,30,IG
5.615654506378803,31,IG
5.411351147649976,32,IG
5.793781839386129,33,IG
5.800009748563674,34,IG
5.576037367375607,35,IG
5.315080469996777,36,IG
5.174777380424457,37,IG
5.079942132320632,38,IG
4.904938071382618,39,IG
5.710849004807777,40,IG
7.470218609119166,41,IG
7.364136285204275,42,IG
7.179975837536464,43,IG
7.10344886686023,44,IG
6.987620843644782,45,IG
8.526724200307882,46,IG
8.517093231357954,47,IG
9.49977939326173,48,IG
9.333556085535157,49,IG
9.618986090077382,50,IG
9.3957775203085,51,IG
9.096687761714609,52,IG
9.683211040732186,53,IG
9.558037734382344,54,IG
9.400274528743696,55,IG
9.252824203660643,56,IG
12.004994487372674,57,IG
11.76472984376822,58,IG
11.566976205686947,59,IG
11.386354869267006,60,IG
11.282829603607537,61,IG
11.137544399157969,62,IG
10.952855781859668,63,IG
10.851884212402048,64,IG
10.574327962317124,65,IG
10.226498355348845,66,IG
10.14536353407429,67,IG
9.840183428943917,68,IG
9.707706324698224,69,IG
10.585419337786679,70,IG
10.433201049804115,71,IG
10.250463924517694,72,IG
10.116703398999807,73,IG
9.902989501802418,74,IG
10.29509586270563,75,IG
10.206990604933166,76,IG
10.079679706869129,77,IG
9.963890056714854,78,IG
9.860832136351952,79,IG
10.13487252100915,80,IG
10.017364735176871,81,IG
9.919255279504497,82,IG
9.827828501300614,83,IG
9.643950594171066,84,IG
9.522035053987807,85,IG
9.44114217399465,86,IG
9.734217217285648,87,IG
9.921140600915074,88,IG
9.818612771091619,89,IG
9.726473326265747,90,IG
9.781125665557482,91,IG
9.664867541192105,92,IG
9.720521305564391,93,IG
9.82310283677888,94,IG
9.708745888602408,95,IG
10.074295214249696,96,IG
9.989568092397164,97,IG
9.943616717782621,98,IG
9.78177860254431,99,IG
