cumulative_sum,sample,method
3.8730980948694227,0,IG
3.518380789375783,1,IG
2.5184779281052747,2,IG
1.7186785613121174,3,IG
1.1903861386727848,4,IG
3.6916427141057597,5,IG
3.353446644755031,6,IG
2.459915636922446,7,IG
8.81151331449961,8,IG
7.5267176264403135,9,IG
7.0228167984510455,10,IG
6.443686470402896,11,IG
6.305126651255739,12,IG
5.8530044863736945,13,IG
9.72844736302877,14,IG
9.321628525680296,15,IG
8.656509539172022,16,IG
8.268347903271433,17,IG
7.885677399352494,18,IG
7.550218026220215,19,IG
8.269937431248158,20,IG
7.092524047704068,21,IG
6.907541523817085,22,IG
7.882639989278297,23,IG
7.667189120395669,24,IG
7.356521188888738,25,IG
7.19980788711833,26,IG
6.924946530223668,27,IG
6.62329876900352,28,IG
6.685205108404928,29,IG
6.519994086423872,30,IG
6.321209068002986,31,IG
6.132284255150836,32,IG
6.480019383110777,33,IG
7.18516979496288,34,IG
6.853879338351766,35,IG
8.178496088717136,36,IG
8.04928762454452,37,IG
7.850377426941613,38,IG
7.622740147275987,39,IG
7.419747468586783,40,IG
7.251895165642552,41,IG
7.089917280695306,42,IG
7.917560272832153,43,IG
7.750419769849254,44,IG
7.594182752970055,45,IG
7.439083682583338,46,IG
7.274105955082236,47,IG
7.276669250518781,48,IG
7.164730774972832,49,IG
6.9133574342217,50,IG
10.202872276306152,0,Target
10.202872276306152,1,Target
10.202872276306152,2,Target
10.202872276306152,3,Target
10.202872276306152,4,Target
10.202872276306152,5,Target
10.202872276306152,6,Target
10.202872276306152,7,Target
10.202872276306152,8,Target
10.202872276306152,9,Target
10.202872276306152,10,Target
10.202872276306152,11,Target
10.202872276306152,12,Target
10.202872276306152,13,Target
10.202872276306152,14,Target
10.202872276306152,15,Target
10.202872276306152,16,Target
10.202872276306152,17,Target
10.202872276306152,18,Target
10.202872276306152,19,Target
10.202872276306152,20,Target
10.202872276306152,21,Target
10.202872276306152,22,Target
10.202872276306152,23,Target
10.202872276306152,24,Target
10.202872276306152,25,Target
10.202872276306152,26,Target
10.202872276306152,27,Target
10.202872276306152,28,Target
10.202872276306152,29,Target
10.202872276306152,30,Target
10.202872276306152,31,Target
10.202872276306152,32,Target
10.202872276306152,33,Target
10.202872276306152,34,Target
10.202872276306152,35,Target
10.202872276306152,36,Target
10.202872276306152,37,Target
10.202872276306152,38,Target
10.202872276306152,39,Target
10.202872276306152,40,Target
10.202872276306152,41,Target
10.202872276306152,42,Target
10.202872276306152,43,Target
10.202872276306152,44,Target
10.202872276306152,45,Target
10.202872276306152,46,Target
10.202872276306152,47,Target
10.202872276306152,48,Target
10.202872276306152,49,Target
10.202872276306152,50,Target
