k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.26322558522224426,0.3757683336734772
0.2,0.1369449496269226,0.28977063298225403
0.30000000000000004,0.06990683078765869,0.21224237978458405
0.4,0.037125520408153534,0.15329383313655853
0.5,0.019763974472880363,0.11188363283872604
0.6,0.011083707213401794,0.08672279864549637
0.7000000000000001,0.008318521082401276,0.07341679185628891
0.8,0.005594226997345686,0.05298149213194847
0.9,0.0037375888787209988,0.02989695779979229
1.0,0.007892435416579247,0.06094127893447876
