k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.22253313660621643,0.34863778948783875
0.2,0.10012459009885788,0.2478036880493164
0.30000000000000004,0.045044198632240295,0.17201802134513855
0.4,0.022906430065631866,0.1223253458738327
0.5,0.013261334039270878,0.09303496032953262
0.6,0.010711412876844406,0.08498746901750565
0.7000000000000001,0.00720229372382164,0.06817501783370972
0.8,0.004915603436529636,0.046271588653326035
0.9,0.0035580932162702084,0.0255307387560606
1.0,0.007892437279224396,0.060941290110349655
