k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.5683494806289673,0.4678259491920471
0.2,0.35930266976356506,0.4451872408390045
0.30000000000000004,0.2082664519548416,0.37763741612434387
0.4,0.11139451712369919,0.31542760133743286
0.5,0.06220852583646774,0.2526770532131195
0.6,0.024766776710748672,0.12315726280212402
0.7000000000000001,0.010941235348582268,0.08260384202003479
0.8,0.005848737899214029,0.05814898759126663
0.9,0.004182176664471626,0.040332671254873276
1.0,0.009011199697852135,0.07095550000667572
