k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.6553040146827698,0.4092136323451996
0.2,0.5378380417823792,0.4262155592441559
0.30000000000000004,0.44229283928871155,0.4318602979183197
0.4,0.36864274740219116,0.42143386602401733
0.5,0.2935633957386017,0.40340888500213623
0.6,0.21713793277740479,0.3664305806159973
0.7000000000000001,0.12682372331619263,0.27594345808029175
0.8,0.06684008240699768,0.19956330955028534
0.9,0.02617514319717884,0.12661264836788177
1.0,0.008007931523025036,0.0650714561343193
