k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.6166245341300964,0.4314419627189636
0.2,0.48762109875679016,0.44475406408309937
0.30000000000000004,0.39293286204338074,0.43372923135757446
0.4,0.283534437417984,0.3883726894855499
0.5,0.1915551722049713,0.3291337788105011
0.6,0.10793812572956085,0.25753259658813477
0.7000000000000001,0.05666594207286835,0.1866457462310791
0.8,0.02057879976928234,0.1066071018576622
0.9,0.007676105014979839,0.06549252569675446
1.0,0.008007931523025036,0.0650714561343193
