k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.7405092716217041,0.3857235014438629
0.2,0.6915961503982544,0.4150393605232239
0.30000000000000004,0.6173421740531921,0.4455081820487976
0.4,0.5015715956687927,0.45495304465293884
0.5,0.37219738960266113,0.42598575353622437
0.6,0.25091519951820374,0.37696337699890137
0.7000000000000001,0.15652996301651,0.30895501375198364
0.8,0.08509217947721481,0.23402948677539825
0.9,0.03392544016242027,0.15067416429519653
1.0,0.008007931523025036,0.0650714561343193
