k,mean_logit_fraction,sd_logit_fraction,baseline
0.0,1.0,0.0,eg
0.1,0.9645767211914062,0.2008165568113327,eg
0.2,0.8910374045372009,0.3151226043701172,eg
0.3,0.7854798436164856,0.4040362536907196,eg
0.4,0.6750071048736572,0.4466368854045868,eg
0.5,0.5623751878738403,0.4640551507472992,eg
0.6,0.4322458505630493,0.4520057439804077,eg
0.7,0.2891004681587219,0.40735408663749695,eg
0.8,0.1142825484275818,0.25196436047554016,eg
0.9,0.016682304441928864,0.08718917518854141,eg
1.0,0.008007931523025036,0.0650714561343193,eg
0.0,1.0,0.0,gaussian
0.1,0.9702895283699036,0.19257161021232605,gaussian
0.2,0.8934851884841919,0.3176558613777161,gaussian
0.3,0.7960230112075806,0.4024562537670136,gaussian
0.4,0.6780485510826111,0.44492432475090027,gaussian
0.5,0.5721110105514526,0.4619602262973786,gaussian
0.6,0.4394793808460236,0.4542543292045593,gaussian
0.7,0.2833432853221893,0.4027179777622223,gaussian
0.8,0.11449609696865083,0.25146430730819697,gaussian
0.9,0.015605888329446316,0.07983928173780441,gaussian
1.0,0.008007932454347609,0.0650714710354805,gaussian
0.0,1.0,0.0,ig
0.1,0.9751951694488524,0.18475274741649628,ig
0.2,0.893930196762085,0.31027135252952576,ig
0.3,0.7988045811653137,0.3971827328205109,ig
0.4,0.6937533020973206,0.4315466582775116,ig
0.5,0.5777482390403748,0.4604900181293488,ig
0.6,0.4566627442836762,0.4592874348163605,ig
0.7,0.2929073870182037,0.4053056836128235,ig
0.8,0.11487973481416702,0.2531060576438904,ig
0.9,0.01747005432844162,0.08818215876817702,ig
1.0,0.008007931523025036,0.0650714561343193,ig
0.0,1.0,0.0,max_dist
0.1,0.9769949913024902,0.1995627731084824,max_dist
0.2,0.9096838235855104,0.2896847426891327,max_dist
0.3,0.8012003302574158,0.3878980875015259,max_dist
0.4,0.6964892148971558,0.4467551112174988,max_dist
0.5,0.5764697194099426,0.4517679512500763,max_dist
0.6,0.4434406757354736,0.4541202783584595,max_dist
0.7,0.2944250702857971,0.4064899384975433,max_dist
0.8,0.11878428608179092,0.2580729722976685,max_dist
0.9,0.01724105328321457,0.0909961685538292,max_dist
1.0,0.008007931523025036,0.0650714561343193,max_dist
0.0,1.0,0.0,uniform
0.1,0.9712949991226196,0.18515123426914212,uniform
0.2,0.8995397686958313,0.31692641973495483,uniform
0.3,0.7917130589485168,0.4004472494125366,uniform
0.4,0.6797640919685364,0.4371609389781952,uniform
0.5,0.5722315907478333,0.4668866693973541,uniform
0.6,0.43810588121414185,0.4526744186878204,uniform
0.7,0.286335825920105,0.4069716632366181,uniform
0.8,0.11531702429056168,0.2531038522720337,uniform
0.9,0.01596459373831749,0.08570587635040282,uniform
1.0,0.008007931523025036,0.0650714561343193,uniform
0.0,1.0,0.0,blur
0.1,0.9642722010612488,0.19594396650791168,blur
0.2,0.8872968554496765,0.3249642550945282,blur
0.3,0.7885511517524719,0.4057113826274872,blur
0.4,0.687553346157074,0.4457380473613739,blur
0.5,0.5669900178909302,0.4621461927890778,blur
0.6,0.4348304569721222,0.4535658359527588,blur
0.7,0.2862095236778259,0.4095467925071716,blur
0.8,0.10992295295000076,0.24166832864284515,blur
0.9,0.015272231772542,0.07966756075620651,blur
1.0,0.008007931523025036,0.0650714710354805,blur
0.0,1.0,0.0,null_gaussian
0.1,0.9831317663192748,0.19277356564998627,null_gaussian
0.2,0.9113210439682008,0.2811598777770996,null_gaussian
0.3,0.8345237970352173,0.3632967174053192,null_gaussian
0.4,0.7376912832260132,0.423620343208313,null_gaussian
0.5,0.6159738898277283,0.4615983963012695,null_gaussian
0.6,0.4803130328655243,0.4583829045295715,null_gaussian
0.7,0.3139519691467285,0.4211162626743317,null_gaussian
0.8,0.128463014960289,0.29493582248687744,null_gaussian
0.9,0.015438478440046309,0.07993075251579285,null_gaussian
1.0,0.008007931523025036,0.0650714561343193,null_gaussian
