k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9642722010612488,0.19594396650791168
0.2,0.8872968554496765,0.3249642550945282
0.30000000000000004,0.7885511517524719,0.4057113826274872
0.4,0.687553346157074,0.4457380473613739
0.5,0.5669900178909302,0.46214619278907776
0.6,0.4348304569721222,0.4535658359527588
0.7000000000000001,0.2862095236778259,0.40954679250717163
0.8,0.10992295295000076,0.24166832864284515
0.9,0.015272231772542,0.07966756075620651
1.0,0.008007931523025036,0.0650714710354805
