k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9712949991226196,0.18515123426914215
0.2,0.8995397686958313,0.31692641973495483
0.30000000000000004,0.7917130589485168,0.4004472494125366
0.4,0.6797640919685364,0.4371609389781952
0.5,0.5722315907478333,0.4668866693973541
0.6,0.43810588121414185,0.45267441868782043
0.7000000000000001,0.286335825920105,0.40697166323661804
0.8,0.11531702429056168,0.2531038522720337
0.9,0.01596459373831749,0.08570587635040283
1.0,0.008007931523025036,0.0650714561343193
