k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9702895283699036,0.19257161021232605
0.2,0.8934851884841919,0.31765586137771606
0.30000000000000004,0.7960230112075806,0.40245625376701355
0.4,0.6780485510826111,0.44492432475090027
0.5,0.5721110105514526,0.46196022629737854
0.6,0.43947938084602356,0.4542543292045593
0.7000000000000001,0.28334328532218933,0.4027179777622223
0.8,0.11449609696865082,0.251464307308197
0.9,0.015605888329446316,0.07983928173780441
1.0,0.00800793245434761,0.0650714710354805
