k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9769949913024902,0.19956277310848236
0.2,0.9096838235855103,0.2896847426891327
0.30000000000000004,0.8012003302574158,0.3878980875015259
0.4,0.6964892148971558,0.4467551112174988
0.5,0.5764697194099426,0.4517679512500763
0.6,0.44344067573547363,0.4541202783584595
0.7000000000000001,0.2944250702857971,0.40648993849754333
0.8,0.11878428608179092,0.25807297229766846
0.9,0.01724105328321457,0.0909961685538292
1.0,0.008007931523025036,0.0650714561343193
