k,mean_logit_fraction,sd_logit_fraction,baseline
0.0,1.0,0.0,eg
0.1,0.9574545621871948,0.20229510962963104,eg
0.2,0.8797417283058167,0.32164159417152405,eg
0.3,0.7895417213439941,0.3885717988014221,eg
0.4,0.6734576821327211,0.4313684105873108,eg
0.5,0.552619993686676,0.4525140821933746,eg
0.6,0.4085331559181213,0.4292765855789185,eg
0.7,0.2678872346878052,0.39110296964645386,eg
0.8,0.10132291913032533,0.24416621029376984,eg
0.9,0.0070536346174776545,0.04226293414831162,eg
1.0,0.0014161395374685526,0.003349836450070143,eg
0.0,1.0,0.0,gaussian
0.1,0.9595252871513368,0.1827968806028366,gaussian
0.2,0.8844459652900696,0.2948169112205505,gaussian
0.3,0.7956334948539734,0.38109090924263,gaussian
0.4,0.6950995326042175,0.425059974193573,gaussian
0.5,0.5721458792686462,0.4436043202877045,gaussian
0.6,0.4485870897769928,0.4456526041030884,gaussian
0.7,0.3158848881721497,0.4127669036388397,gaussian
0.8,0.15835504233837128,0.3162230849266052,gaussian
0.9,0.06436086446046829,0.2303793728351593,gaussian
1.0,0.001416146056726575,0.0033498341217637058,gaussian
0.0,1.0,0.0,ig
0.1,0.9676300883293152,0.17203959822654724,ig
0.2,0.8964645862579346,0.2808773219585419,ig
0.3,0.8006635904312134,0.368080735206604,ig
0.4,0.6794158816337585,0.4326615035533905,ig
0.5,0.5528842806816101,0.456329733133316,ig
0.6,0.4210170805454254,0.4510454833507538,ig
0.7,0.281462162733078,0.3877965211868286,ig
0.8,0.12360814958810805,0.2738720178604126,ig
0.9,0.021877266466617584,0.1237528845667839,ig
1.0,0.0014161396538838744,0.0033498359844088554,ig
0.0,1.0,0.0,max_dist
0.1,0.9713131189346312,0.15635143220424652,max_dist
0.2,0.916240096092224,0.2771066129207611,max_dist
0.3,0.8276811838150024,0.3603475391864777,max_dist
0.4,0.7398982048034668,0.41394203901290894,max_dist
0.5,0.6290693283081055,0.4328998625278473,max_dist
0.6,0.5077099800109863,0.4525116086006165,max_dist
0.7,0.36016741394996643,0.4355222284793854,max_dist
0.8,0.22414036095142365,0.3827352523803711,max_dist
0.9,0.11363442987203598,0.3042781352996826,max_dist
1.0,0.001416445360518992,0.003349760547280312,max_dist
0.0,1.0,0.0,uniform
0.1,0.9612682461738586,0.1907670944929123,uniform
0.2,0.8851959109306335,0.3016161024570465,uniform
0.3,0.7808430194854736,0.3807710707187653,uniform
0.4,0.6709343194961548,0.43531334400177,uniform
0.5,0.5460764169692993,0.4541349709033966,uniform
0.6,0.4130397439002991,0.44678667187690735,uniform
0.7,0.2701926827430725,0.3809448480606079,uniform
0.8,0.11138610541820526,0.2540211975574493,uniform
0.9,0.01720738783478737,0.10119231045246124,uniform
1.0,0.0014160909922793508,0.0033498439006507397,uniform
0.0,1.0,0.0,blur
0.1,0.9549948573112488,0.18941091001033786,blur
0.2,0.8779670000076294,0.30301231145858765,blur
0.3,0.7936480641365051,0.3888346552848816,blur
0.4,0.6889259219169617,0.4388801157474518,blur
0.5,0.5535961985588074,0.4502142369747162,blur
0.6,0.4221360981464386,0.4423111081123352,blur
0.7,0.2706440985202789,0.3908046782016754,blur
0.8,0.12222035229206085,0.2652271091938019,blur
0.9,0.015494622290134432,0.09668797254562378,blur
1.0,0.001416139886714518,0.003349838545545936,blur
