k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9760871529579163,0.2075481116771698
0.2,0.910393238067627,0.27113020420074463
0.30000000000000004,0.8328908681869507,0.34805330634117126
0.4,0.7197515964508057,0.41101428866386414
0.5,0.5988535284996033,0.4451105296611786
0.6,0.4599142074584961,0.44269129633903503
0.7000000000000001,0.29291003942489624,0.39008602499961853
0.8,0.10906717926263809,0.2483242303133011
0.9,0.013694935478270054,0.09314529597759247
1.0,0.001282389392144978,0.0023100313264876604
