k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9574545621871948,0.20229510962963104
0.2,0.8797417283058167,0.32164159417152405
0.30000000000000004,0.7895417213439941,0.3885717988014221
0.4,0.673457682132721,0.4313684105873108
0.5,0.552619993686676,0.45251408219337463
0.6,0.40853315591812134,0.42927658557891846
0.7000000000000001,0.2678872346878052,0.39110296964645386
0.8,0.10132291913032532,0.24416621029376984
0.9,0.007053634617477655,0.042262934148311615
1.0,0.0014161395374685526,0.0033498364500701427
