k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9723215103149414,0.16628950834274292
0.2,0.9142681956291199,0.28074753284454346
0.30000000000000004,0.8419280648231506,0.3441462516784668
0.4,0.7476394772529602,0.408731609582901
0.5,0.6232789158821106,0.44035691022872925
0.6,0.46288421750068665,0.4407554268836975
0.7000000000000001,0.28727778792381287,0.3861471116542816
0.8,0.111099973320961,0.25712984800338745
0.9,0.014875705353915691,0.09774906188249588
1.0,0.0011679005110636353,0.0027312021702528
