k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9761167168617249,0.1895337849855423
0.2,0.9175060987472534,0.275710791349411
0.30000000000000004,0.8389487266540527,0.35013118386268616
0.4,0.7461358904838562,0.4245545566082001
0.5,0.6486892104148865,0.4795040190219879
0.6,0.5005096197128296,0.46535858511924744
0.7000000000000001,0.3263798952102661,0.42949697375297546
0.8,0.1166454628109932,0.26823776960372925
0.9,0.013380317948758602,0.09451135247945786
1.0,0.0013747528428211808,0.005388422403484583
