k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9676300883293152,0.17203959822654724
0.2,0.8964645862579346,0.28087732195854187
0.30000000000000004,0.8006635904312134,0.368080735206604
0.4,0.6794158816337585,0.4326615035533905
0.5,0.5528842806816101,0.45632973313331604
0.6,0.4210170805454254,0.4510454833507538
0.7000000000000001,0.281462162733078,0.3877965211868286
0.8,0.12360814958810806,0.2738720178604126
0.9,0.021877266466617584,0.1237528845667839
1.0,0.0014161396538838744,0.0033498359844088554
