k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.7049645781517029,0.4172920286655426
0.2,0.5450371503829956,0.4366735816001892
0.30000000000000004,0.40923333168029785,0.4303198754787445
0.4,0.29842686653137207,0.4047682285308838
0.5,0.20780038833618164,0.3485181927680969
0.6,0.12926144897937775,0.28358420729637146
0.7000000000000001,0.07579440623521805,0.21869151294231415
0.8,0.03920157253742218,0.1542341411113739
0.9,0.011379125528037548,0.07525990903377533
1.0,0.0012593601131811738,0.0026873229071497917
