k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.4983672499656677,0.47038236260414124
0.2,0.3051277697086334,0.4111469089984894
0.30000000000000004,0.18465936183929443,0.3413343131542206
0.4,0.10842493921518326,0.26920658349990845
0.5,0.060812368988990784,0.19237110018730164
0.6,0.03872167691588402,0.1546947956085205
0.7000000000000001,0.020668799057602882,0.10495904088020325
0.8,0.013925328850746155,0.08612792193889618
0.9,0.006326513364911079,0.05314179137349129
1.0,0.0011679005110636353,0.0027312021702528
