k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.3960214853286743,0.4388875663280487
0.2,0.25851115584373474,0.37349849939346313
0.30000000000000004,0.17893630266189575,0.3237813711166382
0.4,0.13831482827663422,0.30121567845344543
0.5,0.1164245456457138,0.28252777457237244
0.6,0.1000557541847229,0.27629193663597107
0.7000000000000001,0.07894433289766312,0.22419440746307373
0.8,0.059445347636938095,0.19258607923984528
0.9,0.033643364906311035,0.14630073308944702
1.0,0.0013747536577284336,0.0053884247317910194
