k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.5886756777763367,0.44985106587409973
0.2,0.41066595911979675,0.45260968804359436
0.30000000000000004,0.23846307396888733,0.3833971917629242
0.4,0.11415405571460724,0.27185389399528503
0.5,0.05062321573495865,0.18109677731990814
0.6,0.027734005823731422,0.1317487359046936
0.7000000000000001,0.018879104405641556,0.10978802293539047
0.8,0.010450653731822968,0.07722504436969757
0.9,0.0032615424133837223,0.033106088638305664
1.0,0.0014161396538838744,0.0033498359844088554
