k,mean_logit_fraction,sd_logit_fraction,baseline
0.0,1.0,0.0,eg
0.1,0.2299719899892807,0.3674226403236389,eg
0.2,0.11601276695728302,0.2756619155406952,eg
0.3,0.0644998848438263,0.20587484538555145,eg
0.4,0.036104783415794366,0.15567709505558014,eg
0.5,0.02104312926530838,0.12014352530241013,eg
0.6,0.015193870291113853,0.10154563188552856,eg
0.7,0.0070533184334635735,0.062266174703836434,eg
0.8,0.005414710845798254,0.04923783987760544,eg
0.9,0.0019555059261620045,0.012759070843458177,eg
1.0,0.0014161395374685526,0.003349836450070143,eg
0.0,1.0,0.0,gaussian
0.1,0.1929081380367279,0.3405119180679321,gaussian
0.2,0.0961836576461792,0.2505371868610382,gaussian
0.3,0.047858018428087234,0.17574574053287506,gaussian
0.4,0.030085036531090736,0.1434008628129959,gaussian
0.5,0.021230632439255714,0.12053725123405455,gaussian
0.6,0.014085502363741396,0.09527211636304857,gaussian
0.7,0.007055637426674366,0.06679984927177429,gaussian
0.8,0.0042170751839876175,0.04454776272177696,gaussian
0.9,0.001666101161390543,0.00980717781931162,gaussian
1.0,0.001416139886714518,0.0033498373813927174,gaussian
0.0,1.0,0.0,ig
0.1,0.5886756777763367,0.4498510658740997,ig
0.2,0.4106659591197968,0.4526096880435944,ig
0.3,0.2384630739688873,0.3833971917629242,ig
0.4,0.11415405571460725,0.27185389399528503,ig
0.5,0.05062321573495865,0.18109677731990811,ig
0.6,0.027734005823731426,0.1317487359046936,ig
0.7,0.01887910440564156,0.10978802293539047,ig
0.8,0.01045065373182297,0.07722504436969757,ig
0.9,0.0032615424133837227,0.033106088638305664,ig
1.0,0.0014161396538838744,0.0033498359844088554,ig
0.0,1.0,0.0,max_dist
0.1,0.4507798552513122,0.4460634887218475,max_dist
0.2,0.2385037839412689,0.3873173594474793,max_dist
0.3,0.11330900341272356,0.2761048674583435,max_dist
0.4,0.04946665093302727,0.18104568123817444,max_dist
0.5,0.021665288135409355,0.1163964718580246,max_dist
0.6,0.014197356067597866,0.09521623700857162,max_dist
0.7,0.009746391326189041,0.0769125372171402,max_dist
0.8,0.005106206983327866,0.05001378059387207,max_dist
0.9,0.0021153748966753483,0.016386080533266068,max_dist
1.0,0.0014161396538838744,0.0033498362172394987,max_dist
0.0,1.0,0.0,uniform
0.1,0.15690042078495026,0.30338597297668457,uniform
0.2,0.06271879374980928,0.2018377184867859,uniform
0.3,0.030548488721251488,0.14169996976852414,uniform
0.4,0.016896342858672142,0.11037938296794893,uniform
0.5,0.014508533291518688,0.10433203727006912,uniform
0.6,0.009951007552444937,0.07635841518640518,uniform
0.7,0.006687349639832974,0.0600387454032898,uniform
0.8,0.003649588208645582,0.03890080377459526,uniform
0.9,0.002858669264242053,0.03268417716026306,uniform
1.0,0.0014161395374685526,0.0033498362172394987,uniform
0.0,1.0,0.0,blur
0.1,0.2346171438694,0.36524638533592224,blur
0.2,0.08926230669021606,0.2436605989933014,blur
0.3,0.04198040440678597,0.16425882279872894,blur
0.4,0.02672196924686432,0.13567408919334412,blur
0.5,0.020167037844657898,0.11392254382371902,blur
0.6,0.016052236780524254,0.10015441477298737,blur
0.7,0.012595033273100851,0.08606760948896408,blur
0.8,0.008179262280464172,0.06619960069656372,blur
0.9,0.0031135892495512962,0.03516845032572746,blur
1.0,0.0014161396538838744,0.003349837847054005,blur
