k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.1929081380367279,0.34051191806793213
0.2,0.0961836576461792,0.2505371868610382
0.30000000000000004,0.047858018428087234,0.17574574053287506
0.4,0.030085036531090736,0.1434008628129959
0.5,0.021230632439255714,0.12053725123405457
0.6,0.014085502363741398,0.09527211636304855
0.7000000000000001,0.007055637426674366,0.06679984927177429
0.8,0.0042170751839876175,0.04454776272177696
0.9,0.001666101161390543,0.009807177819311619
1.0,0.001416139886714518,0.0033498373813927174
