k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.28888800740242004,0.39813244342803955
0.2,0.1871008425951004,0.3305363953113556
0.30000000000000004,0.13199982047080994,0.2856760323047638
0.4,0.0935656726360321,0.24771766364574432
0.5,0.07115770131349564,0.2140503227710724
0.6,0.05082268640398979,0.17704343795776367
0.7000000000000001,0.039950624108314514,0.1588594913482666
0.8,0.03224879503250122,0.14397695660591125
0.9,0.015056685544550419,0.09702982008457184
1.0,0.0013747528428211808,0.005388422403484583
