k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9610173106193542,0.2106541246175766
0.2,0.891203761100769,0.3096730709075928
0.30000000000000004,0.7899854779243469,0.39175671339035034
0.4,0.6903812289237976,0.44313758611679077
0.5,0.5909992456436157,0.4661642611026764
0.6,0.45268410444259644,0.45443087816238403
0.7000000000000001,0.2894442081451416,0.4000968635082245
0.8,0.1013806164264679,0.2387629747390747
0.9,0.013404165394604206,0.0943194180727005
1.0,0.0013747528428211808,0.005388422403484583
