k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.963234007358551,0.19803506135940552
0.2,0.8943960070610046,0.3035975396633148
0.30000000000000004,0.7987684011459351,0.39651766419410706
0.4,0.6951871514320374,0.44938430190086365
0.5,0.5975569486618042,0.47201457619667053
0.6,0.4586310088634491,0.4623458981513977
0.7000000000000001,0.28855571150779724,0.3885975778102875
0.8,0.1007024496793747,0.23573487997055054
0.9,0.013224607333540916,0.0906209796667099
1.0,0.00137475342489779,0.005388423800468445
