k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9755581617355347,0.15875130891799927
0.2,0.9247539043426514,0.25826796889305115
0.30000000000000004,0.84993577003479,0.3499910533428192
0.4,0.7402335405349731,0.4153801500797272
0.5,0.6064150333404541,0.4383174180984497
0.6,0.4557669758796692,0.4499702751636505
0.7000000000000001,0.291407972574234,0.4089856743812561
0.8,0.1365814507007599,0.3028002083301544
0.9,0.017263323068618774,0.08989179879426956
1.0,0.004190637730062008,0.02352970652282238
