k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.983502209186554,0.19350938498973846
0.2,0.9108714461326599,0.2814241349697113
0.30000000000000004,0.8350853323936462,0.361198753118515
0.4,0.7367421388626099,0.42202603816986084
0.5,0.6161643266677856,0.4615018665790558
0.6,0.4813624918460846,0.46295252442359924
0.7000000000000001,0.31514185667037964,0.4214293360710144
0.8,0.12780144810676575,0.2935824990272522
0.9,0.015296906232833862,0.08126161992549896
1.0,0.008007931523025036,0.0650714561343193
