k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9739985466003418,0.1640806496143341
0.2,0.9114941954612732,0.2881660461425781
0.30000000000000004,0.8353776931762695,0.3478147089481354
0.4,0.7276948094367981,0.40604934096336365
0.5,0.6058086156845093,0.4365757405757904
0.6,0.44709599018096924,0.4319050908088684
0.7000000000000001,0.27903783321380615,0.37904492020606995
0.8,0.11644385755062103,0.2603187561035156
0.9,0.015971805900335312,0.08474446088075638
1.0,0.004144220147281885,0.02631423994898796
