k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9636149406433105,0.2051129788160324
0.2,0.8911528587341309,0.3236941397190094
0.30000000000000004,0.7869687080383301,0.40027928352355957
0.4,0.6725826263427734,0.44419270753860474
0.5,0.5608912706375122,0.46215206384658813
0.6,0.43097031116485596,0.45176324248313904
0.7000000000000001,0.28764045238494873,0.4079311192035675
0.8,0.11370661854743958,0.2510727345943451
0.9,0.016451628878712654,0.08624815940856934
1.0,0.008007931523025036,0.0650714561343193
