k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9751951694488525,0.18475274741649628
0.2,0.893930196762085,0.31027135252952576
0.30000000000000004,0.7988045811653137,0.39718273282051086
0.4,0.6937533020973206,0.4315466582775116
0.5,0.5777482390403748,0.46049001812934875
0.6,0.45666274428367615,0.4592874348163605
0.7000000000000001,0.29290738701820374,0.4053056836128235
0.8,0.11487973481416702,0.2531060576438904
0.9,0.01747005432844162,0.08818215876817703
1.0,0.008007931523025036,0.0650714561343193
