k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.980532169342041,0.19296862185001373
0.2,0.9086427092552185,0.275820255279541
0.30000000000000004,0.8214876651763916,0.35725659132003784
0.4,0.7188253402709961,0.42625439167022705
0.5,0.5784010291099548,0.46352264285087585
0.6,0.4372803568840027,0.4429689943790436
0.7000000000000001,0.2792806029319763,0.38315922021865845
0.8,0.12316977232694626,0.27201831340789795
0.9,0.020509148016572,0.10861596465110779
1.0,0.005590631626546383,0.03446357324719429
