k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.9698395729064941,0.16744603216648102
0.2,0.9113766551017761,0.28593578934669495
0.30000000000000004,0.8395969867706299,0.3619888424873352
0.4,0.7429978251457214,0.4401019215583801
0.5,0.6051430702209473,0.4875415861606598
0.6,0.4490327835083008,0.44795405864715576
0.7000000000000001,0.2771719992160797,0.3913518786430359
0.8,0.11482278257608414,0.2606261074542999
0.9,0.018310077488422394,0.09556590020656586
1.0,0.009011199697852135,0.07095550000667572
