cumulative_sum,alpha,method
0.0,0.26,Target
0.0,0.265,Target
0.0,0.27,Target
0.0,0.275,Target
0.0,0.28,Target
0.0,0.285,Target
0.0,0.29,Target
0.0,0.295,Target
0.0,0.3,Target
0.0,0.305,Target
0.0,0.31,Target
0.0,0.315,Target
0.0,0.32,Target
0.0,0.325,Target
0.0,0.33,Target
0.0,0.335,Target
0.0,0.34,Target
0.0,0.345,Target
0.0,0.35,Target
0.0,0.355,Target
0.0,0.36,Target
0.0,0.365,Target
0.0,0.37,Target
0.0,0.375,Target
0.0,0.38,Target
0.0,0.385,Target
0.0,0.39,Target
0.0,0.395,Target
0.0,0.4,Target
0.0,0.405,Target
0.0,0.41,Target
0.0,0.415,Target
0.0,0.42,Target
0.0,0.425,Target
0.0,0.43,Target
0.0,0.435,Target
0.0,0.44,Target
0.0,0.445,Target
0.0,0.45,Target
0.0,0.455,Target
0.0,0.46,Target
0.0,0.465,Target
0.0,0.47,Target
0.0,0.475,Target
0.0,0.48,Target
0.0,0.485,Target
0.0,0.49,Target
0.0,0.495,Target
0.0,0.5,Target
0.0,0.505,Target
0.0,0.51,Target
0.0,0.515,Target
0.0,0.52,Target
0.0,0.525,Target
0.0,0.53,Target
0.0,0.535,Target
0.0,0.54,Target
0.0,0.545,Target
0.0,0.55,Target
0.0,0.555,Target
0.0,0.56,Target
0.0,0.565,Target
0.0,0.57,Target
0.0,0.575,Target
0.0,0.58,Target
0.0,0.585,Target
0.0,0.59,Target
0.0,0.595,Target
0.0,0.6,Target
0.0,0.605,Target
0.0,0.61,Target
0.0,0.615,Target
0.0,0.62,Target
0.0,0.625,Target
0.0,0.63,Target
0.0,0.635,Target
0.0,0.64,Target
0.0,0.645,Target
0.0,0.65,Target
0.0,0.655,Target
0.0,0.66,Target
0.0,0.665,Target
0.0,0.67,Target
0.0,0.675,Target
0.0,0.68,Target
0.0,0.685,Target
0.0,0.69,Target
0.0,0.695,Target
0.0,0.7,Target
0.0,0.705,Target
0.0,0.71,Target
0.0,0.715,Target
0.0,0.72,Target
0.0,0.725,Target
0.0,0.73,Target
0.0,0.735,Target
0.0,0.74,Target
0.0,0.745,Target
0.0,0.75,Target
0.0,0.755,Target
0.0,0.76,Target
0.0,0.765,Target
0.0,0.77,Target
0.0,0.775,Target
0.0,0.78,Target
0.0,0.785,Target
0.0,0.79,Target
0.0,0.795,Target
0.0,0.8,Target
0.0,0.805,Target
0.0,0.81,Target
0.0,0.815,Target
0.0,0.82,Target
0.0,0.825,Target
0.0,0.83,Target
0.0,0.835,Target
0.0,0.84,Target
0.0,0.845,Target
0.0,0.85,Target
0.0,0.855,Target
0.0,0.86,Target
0.0,0.865,Target
0.0,0.87,Target
0.0,0.875,Target
0.0,0.88,Target
0.0,0.885,Target
0.0,0.89,Target
0.0,0.895,Target
0.0,0.9,Target
0.0,0.905,Target
0.0,0.91,Target
0.0,0.915,Target
0.0,0.92,Target
0.0,0.925,Target
0.0,0.93,Target
0.0,0.935,Target
0.0,0.94,Target
0.0,0.945,Target
0.0,0.95,Target
0.0,0.955,Target
0.0,0.96,Target
0.0,0.965,Target
0.0,0.97,Target
0.0,0.975,Target
0.0,0.98,Target
0.0,0.985,Target
0.0,0.99,Target
0.0,0.995,Target
0.0,1.0,Target
