k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.3180997967720032,0.381442666053772
0.2,0.23536226153373718,0.3535086214542389
0.30000000000000004,0.19156280159950256,0.33037471771240234
0.4,0.1559317708015442,0.30600860714912415
0.5,0.13193754851818085,0.287509024143219
0.6,0.10788974165916443,0.261810302734375
0.7000000000000001,0.08263809233903885,0.2374723106622696
0.8,0.05282009765505791,0.1857914924621582
0.9,0.02500719018280506,0.12513673305511475
1.0,0.008007931523025036,0.0650714561343193
