k,mean_logit_fraction,sd_logit_fraction
0.0,1.0,0.0
0.1,0.3171975910663605,0.387199729681015
0.2,0.2384188175201416,0.355056494474411
0.30000000000000004,0.18909862637519836,0.33141741156578064
0.4,0.1479366272687912,0.300780326128006
0.5,0.11390522867441177,0.26775094866752625
0.6,0.08721884340047836,0.23785685002803802
0.7000000000000001,0.059080641716718674,0.19013601541519165
0.8,0.032980937510728836,0.13578295707702637
0.9,0.015312961302697659,0.08397020399570465
1.0,0.008007931523025036,0.0650714561343193
