cumulative_sum,sample,method
13.95244173288049,0,IG
37.09586413016616,1,IG
25.259836816212786,2,IG
18.63225711052459,3,IG
16.352439361566425,4,IG
13.542849993263719,5,IG
11.44174970623973,6,IG
10.706646400408772,7,IG
9.51578270446104,8,IG
8.615821059087105,9,IG
8.698084053032044,10,IG
7.729895446280542,11,IG
7.335512929850209,12,IG
6.565822875704075,13,IG
6.200808512984014,14,IG
7.232109396103425,15,IG
6.811216756776075,16,IG
5.734659826455499,17,IG
5.439112560040925,18,IG
5.086414172540549,19,IG
4.647948015684009,20,IG
6.112142691474095,21,IG
5.774952078518778,22,IG
5.707913191002546,23,IG
6.145110698052158,24,IG
7.171175811515784,25,IG
7.1598700532763875,26,IG
6.98064724572961,27,IG
6.743947911473851,28,IG
6.72142748157928,29,IG
6.58010182010995,30,IG
6.277680890854079,31,IG
6.0447751694228335,32,IG
6.7509459393389015,33,IG
6.406048875117476,34,IG
6.4583913296737725,35,IG
6.319592257125805,36,IG
6.147654453240575,37,IG
5.9548939138616666,38,IG
5.738623583153322,39,IG
5.588205466242007,40,IG
6.805361052356106,41,IG
6.675758434923199,42,IG
6.608514360276885,43,IG
6.310397563759318,44,IG
6.139368952292821,45,IG
6.205206270532066,46,IG
8.118804970661277,47,IG
7.903690570474542,48,IG
7.7353938592298555,49,IG
7.255727945195705,50,IG
9.768659591674805,0,Target
9.768659591674805,1,Target
9.768659591674805,2,Target
9.768659591674805,3,Target
9.768659591674805,4,Target
9.768659591674805,5,Target
9.768659591674805,6,Target
9.768659591674805,7,Target
9.768659591674805,8,Target
9.768659591674805,9,Target
9.768659591674805,10,Target
9.768659591674805,11,Target
9.768659591674805,12,Target
9.768659591674805,13,Target
9.768659591674805,14,Target
9.768659591674805,15,Target
9.768659591674805,16,Target
9.768659591674805,17,Target
9.768659591674805,18,Target
9.768659591674805,19,Target
9.768659591674805,20,Target
9.768659591674805,21,Target
9.768659591674805,22,Target
9.768659591674805,23,Target
9.768659591674805,24,Target
9.768659591674805,25,Target
9.768659591674805,26,Target
9.768659591674805,27,Target
9.768659591674805,28,Target
9.768659591674805,29,Target
9.768659591674805,30,Target
9.768659591674805,31,Target
9.768659591674805,32,Target
9.768659591674805,33,Target
9.768659591674805,34,Target
9.768659591674805,35,Target
9.768659591674805,36,Target
9.768659591674805,37,Target
9.768659591674805,38,Target
9.768659591674805,39,Target
9.768659591674805,40,Target
9.768659591674805,41,Target
9.768659591674805,42,Target
9.768659591674805,43,Target
9.768659591674805,44,Target
9.768659591674805,45,Target
9.768659591674805,46,Target
9.768659591674805,47,Target
9.768659591674805,48,Target
9.768659591674805,49,Target
9.768659591674805,50,Target
